current_x, current_y, calc_x, calc_y, distance
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.85, 0.95, 2.85, 0.11
0.84, 2.85, 0.95, 2.85, 0.11
0.84, 2.86, 0.95, 2.86, 0.11
0.84, 2.87, 0.95, 2.87, 0.11
0.85, 2.87, 0.95, 2.87, 0.10
0.84, 2.88, 0.95, 2.88, 0.11
0.84, 2.89, 0.95, 2.89, 0.11
0.85, 2.90, 0.95, 2.90, 0.10
0.85, 2.90, 0.95, 2.90, 0.10
0.85, 2.91, 0.95, 2.91, 0.10
0.85, 2.92, 0.95, 2.92, 0.10
0.85, 2.93, 0.95, 2.93, 0.10
0.85, 2.94, 0.95, 2.94, 0.10
0.85, 2.95, 0.95, 2.95, 0.10
0.85, 2.95, 0.95, 2.95, 0.10
0.85, 2.96, 0.95, 2.96, 0.10
0.85, 2.96, 0.95, 2.96, 0.10
0.85, 2.97, 0.95, 2.97, 0.10
0.85, 2.97, 0.95, 2.97, 0.10
0.85, 2.98, 0.95, 2.98, 0.10
