Projected direction: -13.33, error: -13.33, derivative: 31.62, control var: 18.14, steering_command 27
Projected direction: -28.23, error: -28.23, derivative: -14.90, control var: -18.90, steering_command 156
Projected direction: -18.75, error: -18.75, derivative: 9.48, control var: 1.01, steering_command 87
Projected direction: -0.00, error: -0.00, derivative: 18.75, control var: 13.13, steering_command 45
Projected direction: 60.02, error: 60.02, derivative: 60.03, control var: 60.03, steering_command 0
Projected direction: 58.77, error: 58.77, derivative: -1.26, control var: 16.75, steering_command 32
Projected direction: 58.37, error: 58.37, derivative: -0.40, control var: 17.23, steering_command 30
Projected direction: 56.67, error: 56.67, derivative: -1.70, control var: 15.81, steering_command 35
Projected direction: 51.20, error: 51.20, derivative: -5.46, control var: 11.54, steering_command 50
Projected direction: 50.47, error: 50.47, derivative: -0.73, control var: 14.63, steering_command 40
Projected direction: 3.85, error: 3.85, derivative: -46.62, control var: -31.48, steering_command 179
Projected direction: -43.48, error: -43.48, derivative: -47.34, control var: -46.18, steering_command 179
Projected direction: -42.80, error: -42.80, derivative: 0.68, control var: -12.36, steering_command 134
Projected direction: -47.60, error: -47.60, derivative: -4.80, control var: -17.64, steering_command 152
Projected direction: -53.53, error: -53.53, derivative: -5.93, control var: -20.21, steering_command 161
Projected direction: -2.88, error: -2.88, derivative: 50.65, control var: 34.59, steering_command 0
Projected direction: 60.28, error: 60.28, derivative: 63.16, control var: 62.30, steering_command 0
Projected direction: 48.92, error: 48.92, derivative: -11.36, control var: 6.73, steering_command 67
Projected direction: 4.38, error: 4.38, derivative: -44.55, control var: -29.87, steering_command 179
Projected direction: -67.15, error: -67.15, derivative: -71.53, control var: -70.22, steering_command 179
Projected direction: -67.80, error: -67.80, derivative: -0.64, control var: -20.79, steering_command 163
Projected direction: -1.80, error: -1.80, derivative: 66.00, control var: 45.66, steering_command 0
Projected direction: 67.82, error: 67.82, derivative: 69.62, control var: 69.08, steering_command 0
Projected direction: -5.02, error: -5.02, derivative: -72.84, control var: -52.50, steering_command 179
Projected direction: -49.31, error: -49.31, derivative: -44.30, control var: -45.80, steering_command 179
Projected direction: -59.04, error: -59.04, derivative: -9.72, control var: -24.52, steering_command 176
Projected direction: -60.87, error: -60.87, derivative: -1.84, control var: -19.55, steering_command 159
Projected direction: 0.34, error: 0.34, derivative: 61.21, control var: 42.95, steering_command 0
Projected direction: 34.91, error: 34.91, derivative: 34.57, control var: 34.67, steering_command 0
Projected direction: 33.26, error: 33.26, derivative: -1.65, control var: 8.83, steering_command 60
Projected direction: 33.56, error: 33.56, derivative: 0.30, control var: 10.28, steering_command 55
Projected direction: -29.56, error: -29.56, derivative: -63.12, control var: -53.05, steering_command 179
Projected direction: -5.50, error: -5.50, derivative: 24.06, control var: 15.20, steering_command 38
Projected direction: -61.60, error: -61.60, derivative: -56.10, control var: -57.75, steering_command 179
Projected direction: -47.66, error: -47.66, derivative: 13.94, control var: -4.54, steering_command 106
Projected direction: -13.36, error: -13.36, derivative: 34.29, control var: 20.00, steering_command 21
Projected direction: 22.52, error: 22.52, derivative: 35.88, control var: 31.87, steering_command 0
Projected direction: 16.75, error: 16.75, derivative: -5.77, control var: 0.98, steering_command 87
Projected direction: 68.54, error: 68.54, derivative: 51.79, control var: 56.81, steering_command 0
Projected direction: 7.25, error: 7.25, derivative: -61.29, control var: -40.73, steering_command 179
Projected direction: 9.93, error: 9.93, derivative: 2.68, control var: 4.86, steering_command 74
Projected direction: -22.01, error: -22.01, derivative: -31.94, control var: -28.96, steering_command 179
Projected direction: -26.17, error: -26.17, derivative: -4.16, control var: -10.76, steering_command 128
Projected direction: -27.02, error: -27.02, derivative: -0.85, control var: -8.70, steering_command 121
Projected direction: -25.52, error: -25.52, derivative: 1.49, control var: -6.61, steering_command 114
Projected direction: -27.31, error: -27.31, derivative: -1.78, control var: -9.44, steering_command 123
Projected direction: -14.13, error: -14.13, derivative: 13.17, control var: 4.98, steering_command 73
Projected direction: -10.79, error: -10.79, derivative: 3.34, control var: -0.90, steering_command 94
Projected direction: -7.20, error: -7.20, derivative: 3.59, control var: 0.35, steering_command 89
Projected direction: -2.37, error: -2.37, derivative: 4.83, control var: 2.67, steering_command 81
Projected direction: 13.34, error: 13.34, derivative: 15.71, control var: 15.00, steering_command 38
